record_id,name,name_contact_person_db,email_contact_person_db,link_contact_form,country,datatype,ongoing,link,type_ehr,type_insurance_claims,type_dz_cohort,type_national_registry,type_other,pub_title_1,pub_title_2,pub_title_3,pub_title_4,pub_title_5,pub_title_6,pub_title_7,pub_title_8,pub_title_9,pub_title_10,pub_title_11,pub_title_12,pub_title_13,pub_title_14,pub_title_15,pub_title_16,pub_title_17,pub_title_18,pub_title_19,author_contact_1,author_contact_2,author_contact_3,author_contact_4,author_contact_5,author_contact_6,author_contact_7,author_contact_8,author_contact_9,author_contact_10,author_contact_11,author_contact_12,author_contact_13,author_contact_14,author_contact_15,author_contact_16,author_contact_17,author_contact_18,author_contact_19,data_dictionary,data_dictionary_link
11,DPC Japan,NA,NA,NA,Japan,Hospital data (electronic health record),1,"https://www.jstage.jst.go.jp/article/ace/1/3/1_76/_pdf#:~:text=The%20Diagnosis%20Procedure%20Combination%20(DPC,system%20(DPC%2F%20PDPS).",1,0,0,0,NA,Impact of corticosteroid administration within 7 days of the hospitalization for influenza pneumonia with respiratory failure: A propensity score analysis using a nationwide administrative database,Antithrombin and mortality in severe pneumonia patients with sepsis-associated disseminated intravascular coagulation: an observational nationwide study.,Adjunctive Corticosteroids decreased the risk of mortality of non-HIV Pneumocystis Pneumonia.,Azithromycin plus beta-lactam versus levofloxacin plus beta-lactam for severe community-acquired pneumonia: A retrospective nationwide database analysis.,Effects of additive corticosteroid therapy on 90-day survival in patients with community-onset pneumonia.,Early physical rehabilitation effectiveness in frail older patients hospitalized for community-acquired pneumonia: analysis of a nationwide database in Japan.,Association Between Systemic Corticosteroid Use and Mortality in Patients with Epiglottitis.,Intravenous methylprednisolone pulse therapy and the risk of in-hospital mortality among acute COVID-19 patients: Nationwide clinical cohort study.,Association between Legionella urinary antigen tests on admission and inhospital mortality in patients with atypical pneumonia: A nationwide database study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Takashi Kido
ido@nagasaki-u.ac.jp; Tel.: +81-95-819-7273","Takashi Tagami, Department of Clinical Epidemiology and Health Economics, School of Public Health, Graduate School of Medicine, University of Tokyo, 7‐3‐1 Hongo, Bunkyo‐ku, Tokyo 1138555, Japan.Tel.: +81 358411887; fax: +81 358411888.E‐mail:
t-tagami@nms.ac.jp","Kiyohide Fushimi

Department of Clinical Data Management and Research, Clinical Research Center, National Hospital Organization Headquarters, 2-5-21, Higashigaoka, Meguro-Ku, 152-8621, Tokyo, Japan. Electronic address: kfushimi.hci@tmd.ac.jp.","Corresponding author. Division of Infectious Diseases, Jichi Medical University Hospital, 3311-1 Yakushiji, Shimotsuke, Tochigi 329-0498, Japan. E-mail addresses: j-suzuki@jichi.ac.jp (J. Suzuki), sasabuchi-tky@umin.ac.jp (Y. Sasabuchi), shatake-tky@umin.ac.jp (S. Hatakeyama), ptmatsui-tky@umin.ac.jp (H. Matsui), protozoa@jichi.ac.jp (T. Sasahara), yujim@jichi.ac.jp (Y. Morisawa), yamadanji@jichi.ac.jp (T. Yamada), yasunagah-tky@umin.ac.jp (H. Yasunaga).","E-mail addresses: tachiwada-t@med.uoeh-u.ac.jp (T. Tachiwada), sn0920@med.uoeh-u.ac.jp (S. Noguchi), km@med.uoeh-u.ac.jp (K. Muramatsu), kentarouakata@med.uoeh-u.ac.jp (K. Akata), yamasaki@med.uoeh-u.ac.jp (K. Yamasaki), t-asakawa@med.uoeh-u.ac.jp (T. Asakawa), zenq@med.uoeh-u.ac.jp (Y. Fujino), kfushimi.hci@tmd.ac.jp (K. Fushimi), smatsuda@med.uoeh-u.ac.jp (S. Matsuda), hmukae@nagasaki-u.ac.jp (H. Mukae), yatera@med.uoeh-u.ac.jp (K. Yatera)","Akio Shimizu 
a.shimizu.diet@gmail.com","Yuya Kimura, MD, Clinical Research Center, National Hospital Organization Tokyo National Hospital, 3-1-1 Takeoka, Kiyose-shi, Tokyo 204-8585, Japan.

Email: yuk.close.to.wrd.34@gmail.com","Yasuharu Tokuda
yasuharu.tokuda@gmail.com","Masayuki Endo, Department of Clinical Epidemiology and Health Economics, School of Public Health, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan. E-mail: emasayuki@m.u-tokyo.ac.jp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
12,DRC Ministry of Health’s COVID-19 Multi-Sectoral Response Committee database,NA,NA,NA,Other: Democratic Republic Congo,"Hospital data (electronic health record); National registries (e.g. death registry, cancer registry, etc.)",3,NA,1,0,0,1,NA,Clinical Characteristics and Outcomes of Patients Hospitalized for COVID-19 in Africa: Early Insights from the Democratic Republic of the Congo.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Address correspondence to Jean B. Nachega, Department of Epidemiology, Infectious Diseases and Microbiology, Center for Global Health, University of Pittsburgh Graduate School of Public Health, 130 DeSoto St., Crabtree Hall A531, Pittsburgh, PA 15261. E-mail: jbn16@pitt.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
13,Department of Veterans Health Administration (VHA) healthcare system,NA,VAResearch@va.gov,NA,USA,Hospital data (electronic health record),1,"https://virec.research.va.gov/Non-VA-Researchers/Info_for_NonVA_Researchers.pdf; 
https://www.data.va.gov/",1,0,0,0,NA,Prior cardiovascular disease is associated with increased short and long-term mortality in COPD patients with community-acquired pneumonia,Prior cardiovascular disease increases long-term mortality in COPD patients with pneumonia.,Mortality Trends for Veterans Hospitalized With Heart Failure and Pneumonia Using Claims-Based vs Clinical Risk-Adjustment Variables.,Empirical Anti-MRSA vs Standard Antibiotic Therapy and Risk of 30-Day Mortality in Patients Hospitalized for Pneumonia.,Early initiation of prophylactic anticoagulation for prevention of coronavirus disease 2019 mortality in patients admitted to hospital in the United States: cohort study.,Early Convalescent Plasma Therapy and Mortality Among US Veterans Hospitalized With Nonsevere COVID-19: An Observational Analysis Emulating a Target Trial.,"Characteristics and outcomes of 627 044 COVID-19 patients living with and without obesity in the United States, Spain, and the United Kingdom.",Kidney Outcomes in Long COVID.,Risks and burdens of incident diabetes in long COVID: a cohort study.,Acute and postacute sequelae associated with SARS-CoV-2 reinfection.,Long-term neurologic outcomes of COVID-19.,Risks and burdens of incident dyslipidaemia in long COVID: a cohort study.,Nirmatrelvir and risk of hospital admission or death in adults with covid-19: emulation of a randomized target trial using electronic health records.,Molnupiravir and risk of post-acute sequelae of covid-19: cohort study.,Incidence and Outcomes of Non-Ventilator-Associated Hospital-Acquired Pneumonia in 284 US Hospitals Using Electronic Surveillance Criteria.,Mortality Among US Veterans Admitted to Community vs Veterans Health Administration Hospitals for COVID-19.,NA,NA,NA,"Marcos I. Restrepo, VERDICT (11C6), South Texas Veterans Health Care System ALMD, 7400 Merton Minter Boulevard, San Antonio, TX, 78229, USA. E-mail: restrepom@uthscsa.edu","M.I. Restrepo, VERDICT (11C6), South Texas Veterans Health Care System ALMD, 7400 Merton Minter Boulevard, San Antonio, TX, 78229, USA. E-mail: restrepom@uthscsa.edu","Amal N. Trivedi, MD, MPH, 121 S Main St, 7th Floor, Providence, RI 02903
(amal_trivedi@brown.edu).","Barbara
Ellen Jones, MD, MSc, Division of
Pulmonary and Critical Care, Veterans
Affairs Salt Lake City Health Care
System, 50 N Medical Dr,
Wintrobe 701, Salt Lake City, UT
84132 (barbara.jones@hsc.utah.edu)",C T Rentsch christopher.rentsch@lshtm.ac.uk (or @darthctr on Twitter)," Kelly Cho, PhD, VA Boston Healthcare System, 150 S. Huntington Avenue, 
Boston, MA 02130 (Kelly.Cho@va.gov).","Talita Duarte-Salles

Fundació Institut Universitari per a la recerca a l’Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain
tduarte@idiapjgol.org"," Dr. Ziyad Al-Aly, Veterans Affairs Saint Louis Health Care System, 915 North Grand Boulevard, 151-JC, Saint Louis, MO 63106. Email: zalaly@gmail.com","Dr Ziyad Al-Aly, Clinical 
Epidemiology Center, and 
Development Service, 
VA Saint Louis Health Care 
System, Saint Louis, MO 63011, 
USA
ziyad.alaly@va.gov","Ziyad Al-Aly, Veterans Research and Education Foundation of St. Louis, St. Louis, MO, USA, zalaly@gmail.com","Z Al-Aly VA Saint Louis Health Care System, Saint Louis, MO 63106, USA zalaly@gmail.com (or @zalaly on Twitter)","Z Al-Aly VA Saint Louis Health Care System, Saint Louis, MO 63106, USA zalaly@gmail.com (or @zalaly on Twitter)","Z Al-Aly
zalaly@gmail.com 
(or @zalaly on Twitter; 
ORCID 0000-0002-2600-0434)","Z Al-Aly VA Saint Louis Health Care System, Saint Louis, MO 63106, USA zalaly@gmail.com (or @zalaly on Twitter)","Barbara E. Jones, MD, MS, University of Utah School of Medicine, 50 N Medical Dr, 701 Wintrobe, Salt Lake City, UT 84103 (ude.hatu.csh@senoj.arabraB).","Michael E. Ohl, MD, MSPH, Veterans Rural Health Resource Center–Iowa City, Iowa City Veterans Affairs Health Care System, 601 Highway 6 W, Bldg 42, Iowa City, IA 52246 (michael-ohl@uiowa.edu).",NA,NA,NA,No,NA
14,ESMO-CoCARE,NA,esmococare@esmo.org,NA,"Other: World-Wide (UK, Spain, Switzerland, Russia, South Korea, Philippines, ...)",Hospital data (electronic health record); Disease specific network (cohort study),3,https://www.esmo.org/covid-19-and-cancer/registries-studies-and-surveys/esmo-cocare-registry,1,0,1,0,NA,Immune checkpoint inhibitor therapy and outcomes from SARS-CoV-2 infection in patients with cancer: a joint analysis of OnCovid and ESMO-CoCARE registries.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dr Alessio Cortellini; alessiocortellini@gmail.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
15,Emergency-Rheum,NA,NA,NA,Other: China,Hospital data (electronic health record),3,NA,1,0,0,0,NA,Mortality risk prediction in lupus patients complicated with invasive infection in the emergency department: LUPHAS score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yi Chen, Department of Emergency Medicine, South Campus, Ren Ji Hospital, School of Medicine, Shanghai Jiao Tong University, No. 2000, 
Jiangyue Road, Minhang District, Shanghai 201112, China chenyirenji@126.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
16,French COVID Cohort,Dominique will definitely know about this.,NA,NA,France,Hospital data (electronic health record); Disease specific network (cohort study),1,"https://clinicaltrials.gov/study/NCT04262921
https://orchestra-cohort.eu/cohort-statistics/",1,0,1,0,NA,Chronic use of renin-angiotensin-aldosterone system blockers and mortality in COVID-19: A multicenter prospective cohort and literature review.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nathalie Gault, INSERM CIC-EC 1425, Hôpital Bichat, 46 rue Henri Huchard, 75018 Paris

Email: nathalie.gault@aphp.fr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
17,German National Pandemic Cohort Network (NAPKON),NA,inof@napkon.de,Kontakt - NAPKON,NA,NA,3,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
18,HIRA-Covid19,NA,NA,NA,South Korea,Insurance/claims data (prescription data),3,https://www.hira-covid19.net/,0,1,0,0,NA,The prognostic role of anticoagulants in COVID-19 patients: national COVID-19 cohort in South Korea.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Young-Geun Choi, Assistant Professor. Department of Statistics, Sookmyung Women’s University, 99 Cheongpa-Ro-47-Gil, Yongsan-Gu, Seoul 04310, South Korea. Email: ygchoi@sm.ac.kr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
19,HM Hospitales,NA,secretaria@mail.fundacionhm.com,NA,Spain,Hospital data (electronic health record),1,"https://www.internationalhm.com/en/investigation/investigation-lines

https://www.hmhospitales.com/SiteAssets/coronavirus/covid-data-save-lives/english-version/Aplication_for_acces_to_Dataset_V3%2520-%2520English.docx&ved=2ahUKEwj4mPa-1qiFAxWcEhAIHVK6C5cQFnoECBIQAQ&usg=AOvVaw3UYA7T8wISBeLQPSGy2Ioz",1,0,0,0,NA,The association between treatment with heparin and survival in patients with Covid-19.,The association of treatment with hydroxychloroquine and hospital mortality in COVID-19 patients.,Effects of tocilizumab on mortality in hospitalized patients with COVID-19: a multicentre cohort study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Ayerbe 
l.garcia-morzon@qmul.ac.uk
Centre of Primary Care and Public Health, Queen Mary 
University of London, 58 Turner Street, London E1 2AB, 
UK","Luis Ayerbe 
l.garcia-morzon@qmul.ac.u","Javier Martínez-Sanz, Department of Infectious Diseases, Hospital Universitario Ramón y Cajal, Facultad de Medicina, Universidad de Alcalá (IRYCIS), Carretera de Colmenar Viejo, Km 9.100, 28034, Madrid, Spain.
javier.martinez.sanz@salud.madrid.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
20,HOMERuN Network,"Andrew Auerbach (Available upon ""reasonable request"")",Andrew.auerbach@ucsf.edu,NA,USA,Hospital data (electronic health record),3,https://hospitalinnovate.org/projects/completed-projects/,1,0,0,0,NA,Venous thromboembolism (VTE) prevention and diagnosis in COVID-19: Practice patterns and outcomes at 33 hospitals.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anna Parks, anna.parks@hsc.utah.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
21,HSC Honest Broker Service,NA,NA,Contact us - Business Services Organisation (BSO) Website,NA,NA,3,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
22,Harvard Pilgrim Health Care Institute (HCA Healthcare Networks),None found directly. Indirect: Analytics director Jessica Sturtevant Jessica_Sturtevant@hphci.harvard.edu,NA,NA,USA,Hospital data (electronic health record),3,NA,1,0,0,0,NA,Incidence and Outcomes of Non-Ventilator-Associated Hospital-Acquired Pneumonia in 284 US Hospitals Using Electronic Surveillance Criteria.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbara E. Jones, MD, MS, University of Utah School of Medicine, 50 N Medical Dr, 701 Wintrobe, Salt Lake City, UT 84103 (ude.hatu.csh@senoj.arabraB).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
23,Health Insurance Review and Assessment Service (HIRA) database,NA,NA,NA,South Korea,Insurance/claims data (prescription data),3,hira-covid19.net is offline.,0,1,0,0,NA,Association Between Nonsteroidal Antiinflammatory Drug Use and Adverse Clinical Outcomes Among Adults Hospitalized With Coronavirus 2019 in South Korea: A Nationwide Study.,COVID-19-related outcomes in immunocompromised patients: A nationwide study in Korea.,The association between statin and COVID-19 adverse outcomes: national COVID-19 cohort in South Korea.,The association between immunosuppressants use and COVID-19 adverse outcomes: national COVID-19 cohort in South Korea.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ju-Young Shin, School of Pharmacy, Sungkyunkwan University, 2066, Seobu-ro, Jangan-gu, Suwon, Gyeonggi-do 16419, South Korea; Samsung Advanced Institute for Health Sciences & Technology, Sungkyunkwan University, 81 Irwon-ro, Gangnam-gu, Seoul 06351, 
South Korea (shin.jy@skku.edu)","Sun-Young JungI
* E-mail: jsyoung@cau.ac.kr
College of Pharmacy, Chung-Ang University, Seoul, Republic of Korea, Department of Global Innovative Drugs, Graduate School of Chung-Ang University, Seoul, Republic of Korea","Young-Geun Choi, PhD. Assistant Professor, Department of Statistics, Sookmyung Women’s University, 99 Cheongpa-Ro-47-
Gil, Yongsan-Gu, Seoul 04310, South Korea. Email: ygchoi@sm.ac.kr","Young-Geun Choi, Assistant Professor, PhD. Department of Statistics, Sookmyung Women’s University, Seoul 04310, South 
Korea. Email: ygchoi@sm.ac.kr. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
24,HealthVerity,NA,NA,Demo request: https://healthverity.com/mastersets/demo-request/,USA,Insurance/claims data (prescription data),3,https://healthverity.com/mastersets/covid-19/,0,1,0,0,NA,Real-world comparative effectiveness of mRNA-1273 and BNT162b2 vaccines among immunocompromised adults identified in administrative claims data in the United States.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aetion, Inc, 5 Pennsylvania Plaza, New York, NY 10001, USA
E-mail address: katie.mues@aetion.com (K.E. Mues)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
25,Hong Kong Hospital Authority (HA),NA,NA,NA,Other: Hong Kong,"Hospital data (electronic health record); National registries (e.g. death registry, cancer registry, etc.)",3,NA,1,0,0,1,NA,Safety of Inactivated and mRNA COVID-19 Vaccination Among Patients Treated for Hypothyroidism: A Population-Based Cohort Study.,Association of Molnupiravir and Nirmatrelvir-Ritonavir with reduced mortality and sepsis in hospitalized omicron patients: a territory-wide study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ian Chi Kei Wong

Centre for Safe Medication Practice and Research, Department of Pharmacology and Pharmacy, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong SAR, China.

wongick@hku.hk","Timothy Hudson Rainer, thrainer@hku.hk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
